,index,0
3272,gruparse,1
3273,círculo,9
3274,ajoelharamse,1
3275,reflexo,12
3276,esclarecia,4
3277,realçava,1
3278,basto,4
3279,majestosa,3
3280,cristã,5
3281,aqueles,21
3282,rostos,2
3283,iluminados,1
3284,único,11
3285,torvo,1
3286,menores,7
3287,ajoelhado,2
3288,embebido,2
3289,contemplála,1
3290,divindade,4
3291,dirigia,6
3292,suspenso,5
3293,concentravam,1
3294,recolhimento,1
3295,diziam,3
3296,oração,12
3297,muda,13
3298,fim,54
3299,mosquete,2
3300,saudou,2
3301,ergueram,3
3302,foramse,2
3303,retirando,2
3304,ofereceu,4
3305,beijo,14
3306,mesura,1
3307,tocou,13
3308,bênção,2
3309,lançada,1
3310,dignidade,3
3311,abade,1
3312,chegandose,8
3313,dispôsse,1
3314,curtos,2
3315,precediam,1
3316,suculenta,1
3317,ceia,7
3318,primeiro,70
3319,chegada,10
3320,emprazado,2
3321,tomar,13
3322,colação,3
3323,recebido,5
3324,favor,3
3325,imenso,7
3326,explicava,2
3327,apreço,2
3328,convite,1
3329,regime,1
3330,caseiro,1
3331,chefes,1
3332,viviam,3
3333,separados,2
3334,matos,5
3335,ocupavamse,1
3336,cordoagem,1
3337,marcenaria,1
3338,unicamente,13
3339,reuniam,2
3340,conservavase,4
3341,retirada,3
3342,semana,2
3343,consagrado,3
3344,repouso,8
3345,devase,1
3346,acontecimento,6
3347,extraordinário,11
3348,canoa,27
3349,vê,5
3350,desejos,7
3351,aventura,1
3352,instantes,9
3353,contemplação,7
3354,ofereceria,1
3355,grupo,11
3356,travouse,1
3357,ficara,8
3358,tímidas,1
3359,escutavam,1
3360,animavam,4
3361,dirigissem,1
3362,diretamente,1
3363,desejoso,2
3364,argentina,3
3365,saudade,1
3366,escutava,4
3367,procurou,11
3368,pretexto,5
3369,chamasse,1
3370,esqueciame,2
3371,contarvos,3
3372,aproveitandose,2
3373,pausa,4
3374,incidentes,3
3375,nossa,28
3376,viagem,13
3377,vejamos,1
3378,encontramos,2
3379,inda,4
3380,sabemos,6
3381,corre,3
3382,parecerá,1
3383,soltando,7
3384,morto,25
3385,enxugando,4
3386,saltavam,2
3387,conversava,4
3388,quintafeira,1
3389,medo,33
3390,onças,2
3391,brincando,1
3392,disselhe,14
3393,viva,12
3394,buscar,11
3395,satisfazer,7
3396,rindo,4
3397,admirar,4
3398,faça,7
3399,têlo,1
3400,assusteis,2
3401,saberá,1
3402,defenderse,5
3403,ajudastes,1
3404,sentida,1
3405,vísseis,1
3406,raiva,18
3407,querermos,1
3408,atirar,6
3409,contou,10
3410,cega,6
3411,fazerlhe,2
3412,admiráveis,2
3413,entrou,23
3414,salvando,5
3415,abnegação,8
3416,heroísmo,15
3417,credeme,2
3418,ficado,4
3419,conversaram,3
3420,campa,5
3421,anunciar,1
3422,subiam,2
3423,trocar,3
3424,perguntais,1
3425,ordenastes,1
3426,meia,12
3427,trouxestes,1
3428,pedistes,1
3429,pertencer,2
3430,timidamente,3
3431,pertence,10
3432,lembrança,28
3433,guardaia,2
3434,varanda,3
3435,recebeu,8
3436,cofre,1
3437,conduzir,1
3438,continha,7
3439,encomendas,2
3440,consistiam,2
3441,jóias,2
3442,sedas,1
3443,espiguilhas,1
3444,fitas,1
3445,glacês,1
3446,holandês,1
3447,pistolas,17
3448,primorosamente,1
3449,embutidas,1
3450,murmurou,23
3451,consigo,6
3452,sirvam,1
3453,defenderes,3
3454,pausada,1
3455,costumava,3
3456,naqueles,5
3457,ocupação,2
3458,seria,48
3459,respeitava,4
3460,esteve,3
3461,descontente,1
3462,recusa,5
3463,fizera,9
3464,modesto,2
3465,presente,13
3466,acariciado,1
3467,tanta,22
3468,esperança,55
3469,recolheu,1
3470,quarto,43
3471,ajoelhando,3
3472,levantar,11
3473,deserta,4
3474,solitária,1
3475,apertarse,1
3476,gracejo,2
3477,tivesse,35
3478,amigo,83
3479,dedicado,15
3480,salvara,6
3481,arriscava,1
3482,somente,8
3483,fazêla,4
3484,recâmara,1
3485,falava,12
3486,amiguinhos,1
3487,dormiam,10
3488,ornato,2
3489,aposento,33
3490,poeta,3
3491,primores,2
3492,brasileira,3
3493,lembrava,6
3494,jovem,4
3495,elegante,1
3496,estremeceu,24
3497,reconheceu,10
3498,esbeltas,3
3499,flexíveis,1
3500,sentiuse,13
3501,aliviada,3
3502,entregarse,2
3503,examinar,3
3504,lindos,9
3505,recebera,4
3506,causavam,1
3507,gastou,1
3508,seguramente,1
3509,adormeceu,3
3510,imagem,22
3511,pensando,7
3512,mágoa,8
3513,recusando,1
3514,viii,4
3515,sossego,22
3516,vento,33
3517,escasseava,1
3518,ouviase,5
3519,habitado,1
3520,vozes,6
3521,abafadas,1
3522,origem,1
3523,espíritos,6
3524,quebravam,2
3525,barreira,9
3526,física,2
3527,convergindo,1
3528,sigamos,2
3529,traçadas,1
3530,existências,1
3531,hão,1
3532,cruzarse,1
3533,vértice,1
3534,alpendradas,1
3535,cercavam,4
3536,trescalavam,1
3537,escudelas,2
3538,peças,3
3539,estreadas,1
3540,apetite,1
3541,convivas,2
3542,catalão,1
3543,canjirões,3
3544,louça,1
3545,metal,4
3546,fartura,1
3547,quanta,2
3548,desejar,2
3549,compensação,1
3550,alpendre,27
3551,grossas,7
3552,talhas,5
3553,cheias,3
3554,vinho,21
3555,caju,1
3556,ananás,3
3557,beber,7
3558,vício,3
3559,suprido,1
3560,licores,2
3561,europeus,1
3562,bebidas,8
3563,afora,1
3564,álcool,1
3565,excita,2
3566,embriaguez,5
3567,começara,5
3568,mastigar,1
3569,beijos,1
3570,dados,2
3571,ranger,2
3572,escudela,1
3573,proferiu,4
3574,réplica,2
3575,roda,7
3576,tornouse,16
3577,coro,6
3578,confuso,9
3579,discordante,1
3580,algazarra,1
3581,bento,46
3582,simões,43
3583,fome,3
3584,mudo,1
3585,algo,1
3586,misser,8
3587,voto,5
3588,martim,14
3589,vaz,12
3590,terceiro,1
3591,penares,2
3592,moçoila,1
3593,andou,1
3594,reqüestando,1
3595,tiraivos,1
3596,lá,17
3597,vossos,11
3598,rui,74
3599,soeiro,44
3600,achais,5
3601,amofinar,1
3602,jaez,1
3603,vasco,6
3604,afonso,5
3605,calçamos,1
3606,sapato,1
3607,aperte,1
3608,julgueis,1
3609,namorado,1
3610,empregado,2
3611,mor,1
3612,valia,5
3613,requebros,1
3614,galanteios,1
3615,taciturno,1
3616,trouxessem,1
3617,baila,1
3618,darse,2
3619,achado,3
3620,afinco,1
3621,trabalhava,3
3622,falainos,1
3623,vistes,5
3624,apostaria,1
3625,penado,1
3626,perguntaram,3
3627,custa,3
3628,sabêlo,2
3629,canjirão,3
3630,fronteiro,3
3631,vedes,6
3632,deita,1
3633,largaramse,1
3634,rir,2
3635,aplaudindo,1
3636,comes,4
3637,saguão,2
3638,eia,2
3639,esforçava,2
3640,tornar,5
3641,leva,6
3642,leválo,2
3643,começou,26
3644,olá,4
3645,gritou,18
3646,levantado,1
3647,encher,3
3648,refizestes,1
3649,esperam,1
3650,saíram,1
3651,revezar,1
3652,costume,8
3653,ficarem,2
3654,sentinela,4
3655,medida,5
3656,dizíeis,4
3657,ficareis,3
3658,entendidos,2
3659,guarda,18
3660,tenhamos,1
3661,venha,4
3662,enfastio,1
3663,pacas,1
3664,porcos,1
3665,pensais,3
3666,queimaremos,1
3667,libras,1
3668,pólvora,4
3669,folia,1
3670,histórias,1
3671,contais,3
3672,supondes,1
3673,atacarão,3
3674,acorda,1
3675,cheirarlhe,1
3676,chamusco,1
3677,reprimindo,3
3678,franca,1
3679,hilaridade,2
3680,fossem,9
3681,após,4
3682,desamparando,1
3683,deixassem,1
3684,levantandose,5
3685,juntos,7
3686,murmuroulhes,1
3687,deixaram,3
3688,oposto,4
3689,refletirse,1
3690,tênue,7
3691,cujas,5
3692,distinguir,7
3693,voltara,6
3694,sentido,7
3695,sofrera,3
3696,consolasse,1
3697,sobretudo,15
3698,resignar,1
3699,perda,6
3700,infinito,5
3701,contado,4
3702,prenda,7
3703,dissesse,3
3704,pensava,21
3705,afagado,2
3706,vivido,3
3707,arrancála,3
3708,sofrimento,9
3709,caixinha,5
3710,envolvendose,1
3711,manto,6
3712,costeou,2
3713,entestava,1
3714,gabinete,28
3715,refletir,12
3716,adiantasse,2
3717,dormisse,1
3718,chegado,18
3719,fardo,3
3720,precioso,4
3721,trocaria,1
3722,tesouro,25
3723,valado,2
3724,estendia,12
3725,prisioneiro,39
3726,arranjou,4
3727,curvando,2
3728,subiu,9
3729,saíra,3
3730,adivinhava,7
3731,satisfazêlo,1
3732,entrando,2
3733,coava,1
3734,suspendeuse,4
3735,servia,18
3736,esteio,3
3737,choça,2
3738,ágeis,1
3739,naturais,1
3740,segurouse,1
3741,óleo,13
3742,19,1
3743,gigante,4
3744,elevandose,4
3745,encosta,6
3746,fronteira,1
3747,deitava,5
3748,pairou,1
3749,balançandose,1
3750,fraco,12
3751,sustinha,1
3752,equilibrouse,1
3753,aérea,2
3754,marinheiro,1
3755,caminha,1
3756,gáveas,1
3757,enxárcias,1
3758,escondido,8
3759,braça,5
3760,colocavam,1
3761,examinava,4
3762,esqueceu,6
3763,importava,7
3764,tragálo,1
3765,planava,2
3766,vergava,2
3767,partir,25
3768,satisfeita,6
3769,repousar,1
3770,porem,3
3771,assaltou,1
3772,pensou,8
3773,darlhe,8
3774,ofertarlhe,1
3775,assomo,5
3776,desespero,25
3777,duzentos,6
3778,poderia,8
3779,estender,3
3780,colher,4
3781,deitasse,1
3782,irradiavam,1
3783,aquelas,9
3784,partidas,3
3785,colocados,4
3786,formavam,11
3787,triângulo,1
3788,frouxamente,1
3789,iluminada,2
3790,arriscavam,1
3791,tocarem,2
3792,umbral,2
3793,gelosia,3
3794,pesava,5
3795,correr,10
3796,julgava,6
3797,valesse,2
3798,mercadejar,1
3799,paixões,6
3800,verdadeiras,3
3801,epopéias,1
3802,ix,4
3803,cerraramse,2
3804,deitado,10
3805,adormecida,19
3806,isenção,3
3807,virgem,17
3808,velavam,1
3809,profundos,1
3810,palpitavam,1
3811,corações,8
3812,extração,1
3813,gozo,11
3814,febre,4
3815,requeimava,3
3816,instinto,12
3817,brutal,3
3818,aumentado,1
3819,impossibilidade,1
3820,condição,6
3821,criava,3
3822,colono,2
3823,rico,5
3824,destruir,7
3825,igualar,1
3826,posições,2
3827,alterasse,1
3828,sociedade,3
3829,rigorosas,1
3830,situações,1
3831,indivíduos,1
3832,hierarquia,1
3833,nobres,10
3834,párias,1
3835,nivelamse,1
3836,descem,1
3837,sobem,1
3838,compreendia,15
3839,sondado,1
3840,alcance,7
3841,afirmamos,1
3842,vigiava,1
3843,constância,3
3844,suplício,10
3845,cortês,2
3846,afeição,22
3847,timidez,4
3848,perfuma,1
3849,primeiras,6
3850,entusiasmo,5
3851,cavalheiresco,1
3852,crença,3
3853,sentirse,1
3854,vêla,3
3855,custo,4
3856,balbuciada,1
3857,corarem,1
3858,ambos,19
3859,saberem,1
3860,fugirem,1
3861,desejando,2
3862,encontrarse,1
3863,afeto,4
3864,entregava,4
3865,descuidosamente,1
3866,librandose,1
3867,comparava,2
3868,pedido,7
3869,formal,2
3870,casamento,1
3871,resolvido,9
3872,aceitar,7
3873,malgrado,1
3874,recusara,4
3875,deitandoo,1
3876,encontrandoo,1
3877,perdoaria,4
3878,ardimento,2
3879,conservaria,1
3880,idolatria,1
3881,fanática,2
3882,entrava,8
3883,egoísmo,1
3884,amava,25
3885,dedicarse,1
3886,cumprir,14
3887,evitar,12
3888,realidade,4
3889,ciúme,4
3890,inquieto,4
3891,arrostava,1
3892,adivinharia,1
3893,iria,5
3894,transformava,1
3895,organizações,3
3896,distintos,1
3897,adorava,2
3898,gozar,10
3899,arrostaria,1
3900,merecer,4
3901,mataria,5
3902,iminente,4
3903,alicerce,2
3904,corressem,2
3905,ribanceira,1
3906,construir,1
3907,respaldo,3
3908,abaixava,1
3909,precinta,1
3910,caminhar,5
3911,polida,4
3912,adesão,1
3913,abaixo,2
3914,abriase,2
3915,profundo,27
3916,cipós,5
3917,répteis,5
3918,pululam,1
3919,precipitasse,1
3920,funda,2
3921,milagre,9
3922,espedaçasse,1
3923,devorado,2
3924,cobras,4
3925,insetos,4
3926,venenosos,3
3927,enchiam,1
3928,grotas,1
3929,alcantis,2
3930,cerrado,3
3931,vaga,8
3932,mortiça,1
3933,verdenegro,2
3934,quadro,10
3935,fitos,12
3936,espelho,7
3937,revia,2
3938,imagens,5
3939,louca,5
3940,claridade,11
3941,debuxavase,1
3942,pálido,15
3943,ardentes,9
3944,pendido,1
3945,evoluções,3
3946,parapeito,2
3947,percebia,4
3948,manga,2
3949,adivinhou,5
3950,enganava,2
3951,segurandose,3
3952,estaca,2
3953,pondo,3
3954,coseu,1
3955,inclinando,2
3956,conseguiu,18
3957,realizar,18
3958,intento,3
3959,partilhado,2
3960,praticara,1
3961,desaparecer,1
3962,repercutiam,2
3963,surdamente,4
3964,sorriu,34
3965,fulva,1
3966,brilhou,5
3967,treva,2
3968,irara,1
3969,cravoua,1
3970,permitiu,1
3971,curva,3
3972,abarcar,1
3973,suspendendose,2
3974,apoio,3
3975,galgar,1
3976,indecisão,1
3977,bastava,20
3978,faltasse,4
3979,vacilasse,1
3980,cimento,1
3981,precipitarse,6
3982,assistia,3
3983,cerrou,4
3984,esperar,11
3985,lançarse,10
3986,ousasse,1
3987,violência,8
3988,caírem,1
3989,reconhecido,3
3990,àquela,8
3991,silenciosa,8
3992,explicoulhe,2
3993,enigma,4
3994,compreender,27
3995,aproximara,2
3996,previa,2
3997,moveu,1
3998,compreendido,3
3999,adoração,2
4000,julgasse,1
4001,causasse,1
4002,empanasse,1
4003,brilho,3
4004,sacrificaria,2
4005,consentir,2
4006,pesar,7
4007,anuviasse,1
4008,rostinho,5
4009,faceiro,1
4010,tranqüilizado,1
4011,dormiu,1
4012,sonhando,2
4013,lua,13
4014,mandava,6
4015,branca,9
4016,acetinada,2
4017,dizerlhe,6
4018,protegesse,1
4019,fachada,2
4020,aproximasse,3
4021,ficavam,1
4022,veria,6
4023,penumbra,1
4024,portal,1
4025,velava,4
4026,pensativa,7
4027,lágrima,10
4028,desfiavalhe,1
4029,infeliz,5
4030,erma,1
4031,recordações,5
4032,queridas,1
4033,martírio,6
4034,adivinhara,1
4035,poucos,9
4036,percebido,6
4037,atravessara,3
4038,tremiam,2
4039,deixavam,3
4040,escaparemse,1
4041,imperceptíveis,1
4042,tirava,3
4043,redoma,3
4044,tampa,2
4045,cristal,6
4046,anel,2
4047,enroscava,4
4048,estreito,2
4049,aro,1
4050,poderoso,4
4051,justificasse,1
4052,exclamação,7
4053,segredos,5
4054,terríveis,5
4055,mudam,1
4056,surgir,2
4057,inestimável,1
4058,fabuloso,7
4059,humana,9
4060,resistir,15
4061,invencível,7
4062,providência,6
4063,pó,5
4064,sutil,8
4065,curare,2
4066,veneno,17
4067,colou,2
4068,delírio,6
4069,soluço,3
4070,rompeulhe,1
4071,x,4
4072,alvorecer,1
4073,raiar,5
4074,manhã,31
4075,banco,3
4076,arzinho,4
4077,traiase,1
4078,queria,26
4079,fugir,13
4080,fitou,16
4081,queixa,10
4082,semblante,15
4083,anuviouse,1
4084,caçar,3
4085,ceci,32
4086,desejou,2
4087,basta,9
4088,deseje,1
4089,corras,1
4090,atrás,6
4091,louco,3
4092,bonita,5
4093,ouve,5
4094,cantar,5
4095,sofrer,15
4096,ouvindo,17
4097,silogismo,1
4098,rude,2
4099,linguagem,10
4100,singela,2
4101,concisa,1
4102,originalidade,1
4103,resolvida,1
4104,ralhar,1
4105,véspera,28
4106,porventura,1
4107,pássaro,7
4108,apanhase,1
4109,pedisse,3
4110,nuvem,13
4111,apontou,2
4112,vapores,2
4113,envolvidos,1
4114,pálidas,2
4115,tocála,2
4116,morria,3
4117,duvidara,1
4118,delicadeza,5
4119,pairar,1
4120,divino,4
4121,obrigada,5
4122,arrisques,1
4123,conserves,2
4124,fizeste,9
4125,afligirse,1
4126,cuidando,1
4127,chorou,1
4128,perdoa,8
4129,perdôo,1
4130,fazerte,1
4131,trouxe,8
4132,encomendado,1
4133,deixarás,4
4134,deixará,7
4135,correres,2
4136,lembrate,4
4137,defenderem,3
4138,salvarem,3
4139,irradiava,3
4140,infinita,1
4141,orgulhoso,1
4142,acabasse,3
4143,unção,2
4144,anjo,10
4145,louro,3
4146,representava,3
4147,admirála,2
4148,respeitoso,3
4149,vertia,4
4150,tesouros,3
4151,transbordavam,1
4152,escaldam,1
4153,requeimam,1
4154,odiavamse,1
4155,antipatia,3
4156,aumentava,1
4157,banho,12
4158,acompanha,2
4159,quieto,5
4160,sossegado,2
4161,impunha,2
4162,assistido,3
4163,banharse,4
4164,inseparável,1
4165,destra,1
4166,sentavase,1
4167,altas,2
4168,banhavam,1
4169,transpunha,1
4170,traçava,1
4171,sobranceira,3
4172,colocara,1
4173,descuidado,1
4174,caçador,4
4175,ornarse,1
4176,vermelha,6
4177,voava,1
4178,ares,6
4179,sibilando,3
4180,arrebatarlhe,1
4181,parava,3
4182,assustado,1
4183,emplumada,1
4184,elevação,2
4185,cairlhe,1
4186,embargarlhe,1
4187,baliza,1
4188,admirava,5
4189,votavam,2
4190,arrepiava,1
4191,jura,2
4192,crivara,1
4193,obrigara,2
4194,encolher,1
4195,duvidaria,3
4196,vazarlhe,1
4197,visse,5
4198,vestidas,2
4199,ligeira,8
4200,estamenha,1
4201,deixandolhes,1
4202,livres,5
4203,nadarem,1
4204,profanação,4
4205,conseguinte,2
4206,ofendêla,2
4207,certeza,13
4208,projeção,1
4209,escrupulosa,1
4210,corrente,12
4211,peixe,6
4212,beijava,3
4213,ofender,5
4214,aguapés,1
4215,camaleão,1
4216,aquecia,1
4217,cintilar,1
4218,prisma,3
4219,sagüi,1
4220,felpudo,2
4221,divertia,2
4222,caretas,1
4223,maliciosas,1
4224,causar,2
4225,pregava,2
4226,arrastado,2
4227,limo,3
4228,despegavase,1
4229,pedregosa,1
4230,sapucaia,1
4231,pendida,3
4232,estalava,2
4233,lançavase,2
4234,retinha,1
4235,coco,3
4236,precipitavase,3
4237,apanhava,2
4238,boiavam,2
4239,correnteza,8
4240,carregava,3
4241,fruta,2
4242,assustarse,1
4243,julgando,12
4244,leve,11
4245,sofresse,2
4246,enfim,12
4247,vigilância,2
4248,constante,3
4249,infatigável,4
4250,inteligente,6
4251,descansar,2
4252,impotente,4
4253,recomendava,1
4254,recomendação,3
4255,inútil,8
4256,faria,11
4257,sequer,8
4258,viesse,9
4259,beijar,5
4260,confundindoos,1
4261,pequiá,1
4262,mocas,1
4263,atravessaram,3
4264,passeava,10
4265,desceu,5
4266,seguida,2
4267,procurado,2
4268,lerlhe,1
4269,perdão,14
4270,receio,24
4271,falarlhe,1
4272,alguém,6
4273,reparasse,1
4274,olhava,14
4275,sorrisos,3
4276,sarcásticos,1
4277,trocaram,1
4278,cruzara,1
4279,laminas,1
4280,aço,12
4281,rogassem,1
4282,indefinível,4
4283,cano,1
4284,apresentouas,1
4285,cometido,2
4286,perspicaz,3
4287,lido,2
4288,ódio,12
4289,voltaramse,2
4290,levantou,17
4291,metendo,2
4292,xi,4
4293,perguntava,3
4294,dizeme,2
4295,falas,3
4296,reparado,1
4297,respondes,1
4298,cortesia,2
4299,docemente,12
4300,confessa,2
4301,gostas,1
4302,tenslhe,1
4303,calouse,3
4304,vou,11
4305,pensar,7
4306,galanteando,2
4307,comprimir,1
4308,pulsações,1
4309,violentas,5
4310,queimarlhe,1
4311,aborreço,1
4312,alteração,3
4313,esquecera,3
4314,choque,7
4315,atribuiria,1
4316,lembrara,2
4317,daquilo,2
4318,corar,5
4319,mentira,1
4320,acabavam,4
4321,trair,4
4322,arrancado,1
4323,blasfêmia,4
4324,revelar,3
4325,mistério,6
4326,ignorância,2
4327,voluptuosidade,7
4328,fitar,2
4329,percebesse,3
4330,incomodar,1
4331,reverse,1
4332,zombaria,2
4333,fizesse,7
4334,nascendo,1
4335,espreguiçavase,1
4336,nuvenzinhas,1
4337,branda,4
4338,surpreendia,1
4339,indolentes,1
4340,copas,1
4341,cacto,1
4342,fechava,2
4343,destila,1
4344,crestasse,1
4345,pétalas,1
4346,úmida,1
4347,gracíola,1
4348,haste,10
4349,malvaísco,1
4350,botões,1
4351,encanto,8
4352,borboleta,3
4353,entorpecidas,2
4354,calor,4
4355,reanimarse,1
4356,viuvinha,2
4357,escondida,3
4358,ramagem,5
4359,avisava,1
4360,raiando,1
4361,calafrio,4
4362,lembrarase,3
4363,sumiuse,4
4364,arvoredo,7
4365,farfalhar,1
4366,prometeste,2
4367,zangar,1
4368,provocado,2
4369,espantosa,7
4370,domar,1
4371,deitálo,1
4372,inofensivo,1
4373,causava,7
4374,destruíra,1
4375,revelasse,2
4376,soubesse,5
4377,ignorar,1
4378,sentisse,1
4379,orgulho,17
4380,julgavam,2
4381,latada,2
4382,jasmineiros,3
4383,dágua,1
4384,arranjado,3
4385,esmero,1
4386,punha,4
4387,vontades,1
4388,afastando,1
4389,ramas,1
4390,ocultavam,2
4391,penetrou,3
4392,pavilhão,2
4393,embastidas,1
4394,fresta,9
4395,penetrasse,1
4396,vergonha,11
4397,espiar,1
4398,cambraia,7
4399,roupagens,2
4400,exame,4
4401,escrupuloso,1
4402,vestuário,2
4403,corpinho,3
4404,anágua,3
4405,descobriu,10
4406,espáduas,1
4407,paro,4
4408,morreu,4
4409,pejo,3
4410,gárrulo,1
4411,malicioso,2
4412,gritara,1
4413,distintamente,2
4414,bemtevi,1
4415,riuse,3
4416,cobria,10
4417,nus,3
4418,acompanhara,2
4419,comprazer,1
4420,sentada,8
4421,nadando,1
4422,límpidas,1
4423,soltos,1
4424,curvavam,1
4425,graciosamente,3
4426,garças,2
4427,colhereiras,1
4428,rósea,1
4429,deslizam,1
4430,mansamente,1
4431,tardes,1
4432,espelhandose,1
4433,levada,4
4434,perseguia,6
4435,jaçanãs,1
4436,marrecas,1
4437,fugiam,1
4438,colhia,1
4439,parasita,3
4440,barquinho,5
4441,casca,1
4442,trazido,2
4443,nado,1
4444,oferecêla,1
4445,pontinha,2
4446,desfolhandoa,1
4447,murmurava,8
4448,cabalísticas,1
4449,procura,5
4450,iludirse,4
4451,consultar,1
4452,mentia,2
4453,oposta,6
4454,guaximas,3
4455,agitarem,1
4456,ondulação,4
4457,produzida,3
4458,arbustos,5
4459,foise,2
4460,estendendo,3
4461,caracol,1
4462,aproximandose,3
4463,banhava,1
4464,lanço,2
4465,conheceu,25
4466,traçado,3
4467,hastes,2
4468,verdes,7
4469,produzido,6
4470,corpulência,2
4471,atravessou,13
4472,colocarse,1
4473,perpendicularmente,1
4474,tanga,1
4475,esticado,1
4476,esperavam,14
4477,passasse,4
4478,despedirem,1
4479,descuidada,1
4480,estendido,3
4481,ferindo,2
4482,ameaçava,8
4483,tratasse,1
4484,sanguefrio,2
4485,portanto,5
4486,refletiu,4
4487,calculou,1
4488,deixouse,3
4489,partiam,2
4490,cravouselhe,1
4491,rogandolhe,1
4492,arrancar,7
4493,despedaçou,1
4494,ouviramse,1
4495,gritos,13
4496,colérica,1
4497,chamava,3
4498,fumegantes,1
4499,responder,10
4500,surgiu,2
4501,touça,7
4502,enfiou,2
4503,lançouse,12
4504,levava,3
4505,avanço,2
4506,escapava,7
4507,tingia,1
4508,vacilar,3
4509,apertou,11
4510,reter,3
4511,espadanava,1
4512,matéria,4
4513,desfalecia,1
4514,dobravam,2
4515,agarrarse,1
4516,estorcendo,1
4517,músculos,8
4518,manterse,1
4519,lutava,5
4520,fraqueza,7
4521,apoderava,4
4522,debateuse,1
4523,gravitação,1
4524,sucumbindo,1
4525,resistia,1
4526,vencido,8
4527,lutar,6
4528,faltou,1
4529,retraindo,1
4530,lembrouse,20
4531,vingar,7
4532,salvála,6
4533,velar,4
4534,contraindose,1
4535,reerguerse,1
4536,vacilantes,1
4537,girou,2
4538,abraçou,2
4539,convulsivamente,5
4540,cabuíba,1
4541,grandeza,4
4542,cimo,4
4543,cinzento,1
4544,borbulhava,2
4545,opala,1
4546,desfiava,2
4547,recendia,1
4548,iluminaram,1
4549,irradiação,3
4550,ardentemente,1
4551,sorveu,1
4552,bálsamo,4
4553,renascer,1
4554,estancou,1
4555,respirou,4
4556,salvo,4
4557,xii,3
4558,voltemos,4
4559,dirigiase,2
4560,dobrou,1
4561,meteuse,3
4562,entranhouse,2
4563,imitouo,2
4564,intervalo,3
4565,guiandose,1
4566,talhos,2
4567,frescos,1
4568,decorreu,2
4569,aberto,3
4570,emanações,3
4571,saudáveis,1
4572,penacho,1
4573,alvadio,2
4574,coroava,1
4575,tubo,3
4576,chaminé,1
4577,anunciando,2
4578,caseiros,1
4579,começado,8
4580,portas,13
4581,fecharamse,1
4582,estrépito,6
4583,caísse,3
4584,assalto,3
4585,entreaberta,4
4586,pálida,11
4587,estarem,2
4588,riçados,1
4589,chamem,1
4590,fechouse,1
4591,ferrolho,1
4592,personagem,2
4593,tardou,2
4594,atravessando,4
4595,fizestesme,1
4596,chamar,7
4597,armado,2
4598,novidade,1
4599,decomposta,1
4600,prodigioso,1
4601,saltarlhe,2
4602,cangote,1
4603,sacou,3
4604,pondose,1
4605,supôs,1
4606,atiravase,1
4607,murmurando,5
4608,advogado,1
4609,feras,6
4610,rezando,1
4611,rodando,1
4612,corrupio,1
4613,atacasse,1
4614,desagradável,1
4615,saúde,3
4616,ganhar,7
4617,encostarse,1
4618,tranqüilizou,1
4619,pestanejar,1
4620,ombreira,3
4621,explicarmeeis,1
4622,cego,2
4623,semelhante,24
4624,disso,6
4625,reerguendose,1
4626,asseguraivos,1
4627,fina,1
4628,esteja,5
4629,impacientado,1
4630,bugre,8
4631,endemoninhado,1
4632,lembrou,4
4633,trazer,7
4634,perro,2
4635,tinhoso,1
4636,costuma,1
4637,culpa,4
4638,teima,2
4639,jóia,3
4640,algures,1
4641,procuraia,1
4642,corram,1
4643,matemna,1
4644,tragamme,1
4645,permitiam,1
4646,pouca,3
4647,desceram,3
4648,chuço,1
4649,atravessada,2
4650,percorrerem,1
4651,baterem,1
4652,voltavam,2
4653,estacou,3
4654,eila,3
4655,marchetada,1
4656,felinos,1
4657,levaram,1
4658,puxarem,1
4659,gatilho,1
4660,largaram,1
4661,homérica,1
4662,têm,12
4663,destemido,4
4664,importar,3
4665,mergulhou,3
4666,apresentouse,3
4667,arrogante,1
4668,caiulhe,3
4669,queixo,3
4670,pasmo,2
4671,embalavase,1
4672,enforcada,1
4673,laço,11
4674,apertandose,1
4675,próprio,6
4676,estrangulara,1
4677,bastara,1
4678,trazêla,4
4679,àquele,4
4680,expirado,1
4681,morta,4
4682,espalhafato,1
4683,valentes,3
4684,corajosos,1
4685,produzia,3
4686,revolução,6
4687,cortou,7
4688,arrastando,2
4689,apresentálo,1
4690,asseguraram,1
4691,arrepiada,1
4692,olhou,10
4693,deixeo,1
4694,vêlo,4
4695,delito,1
4696,pretendia,2
4697,basear,1
4698,libelo,1
4699,acusatório,1
4700,fulminar,3
4701,persuadir,1
4702,expulsar,2
4703,causarlhe,2
4704,faniquito,1
4705,baldados,1
4706,cavalheirismo,2
4707,apreciava,3
4708,estimava,2
4709,aludimos,1
4710,salvado,7
4711,explicará,1
4712,punisse,1
4713,severamente,2
4714,crime,22
4715,abominável,1
4716,pessoa,12
4717,terminava,3
4718,reflexão,4
4719,assomava,3
4720,dirmeeis,1
4721,tocando,4
4722,souberdes,1
4723,hábil,1
4724,contemplando,9
4725,montearia,1
4726,fidalgos,2
4727,excomungado,1
4728,caboclo,2
4729,preparandose,2
4730,falou,9
4731,paca,1
4732,acabála,1
4733,retrucar,1
4734,impôslhe,2
4735,orelhas,1
4736,ergueuo,1
4737,bala,10
4738,notou,2
4739,ligadas,2
4740,conserva,2
