,index,0
407,vigor,8
408,virgens,8
409,estendiam,2
410,longo,17
411,margens,11
412,corria,19
413,meio,150
414,arcarias,2
415,verdura,10
416,capitéis,1
417,formados,1
418,pelos,64
419,leques,3
420,palmeiras,9
421,tudo,149
422,era,449
423,grande,78
424,pomposo,1
425,sublime,24
426,artista,3
427,tinha,449
428,decorado,1
429,dramas,2
430,majestosos,1
431,elementos,5
432,homem,156
433,simples,34
434,comparsa,1
435,ano,13
436,graça,22
437,1604,1
438,lagar,19
439,acabamos,3
440,descrever,8
441,deserto,30
442,inculto,1
443,cidade,12
444,janeiro,31
445,tinhase,17
446,fundado,2
447,menos,60
448,século,2
449,civilização,6
450,tivera,13
451,penetrar,8
452,interior,23
453,viase,16
454,margem,21
455,direita,14
456,larga,17
457,espaçosa,2
458,construída,4
459,eminência,5
460,protegida,2
461,todos,165
462,lados,9
463,por,654
464,muralha,4
465,rocha,9
466,cortada,4
467,pique,2
468,esplanada,68
469,assentado,3
470,edifício,28
471,formava,12
472,semicírculo,3
473,irregular,1
474,teria,15
475,muito,71
476,cinqüenta,6
477,braças,13
478,quadradas,2
479,lado,61
480,espécie,30
481,escada,25
482,lajedo,1
483,feita,11
484,metade,5
485,arte,8
486,descendo,5
487,dois,165
488,largos,2
489,degraus,5
490,pedra,30
491,encontravase,1
492,ponte,10
493,madeira,9
494,solidamente,2
495,fenda,4
496,profunda,21
497,abria,13
498,continuando,2
499,descer,7
500,chegavase,2
501,beira,32
502,curvava,3
503,seio,74
504,gracioso,10
505,sombreado,2
506,grandes,43
507,gameleiras,1
508,angelins,1
509,cresciam,4
510,indústria,2
511,aproveitado,1
512,habilmente,2
513,criar,5
514,meios,8
515,segurança,12
516,defesa,18
517,outro,84
518,seguiam,6
519,renques,1
520,árvores,56
521,alargando,1
522,gradualmente,5
523,iam,31
524,fechar,3
525,braços,49
526,entre,119
527,tronco,26
528,dessas,24
529,alta,18
530,cerca,13
531,espinheiros,2
532,tornava,5
533,aquele,49
534,vale,22
535,impenetrável,7
536,edificada,1
537,arquitetura,1
538,grosseira,1
539,apresentam,1
540,primitivas,1
541,habitações,1
542,janelas,15
543,frente,28
544,baixas,1
545,largas,6
546,direito,30
547,porta,90
548,principal,5
549,dava,32
550,pátio,7
551,cercado,5
552,estacada,6
553,coberta,6
554,melões,1
555,esquerdo,6
556,estendiase,4
557,até,81
558,borda,10
559,asa,6
560,duas,81
561,desfiladeiro,1
562,ângulo,6
563,fazia,55
564,resto,20
565,chamaremos,1
566,jardim,28
567,fato,18
568,imitação,1
569,graciosa,15
570,toda,106
571,rica,5
572,vigorosa,8
573,esplêndida,5
574,vista,29
575,abraçava,2
576,alto,33
577,matas,8
578,copadas,1
579,estendal,1
580,relvas,1
581,fingindo,2
582,formando,8
583,pequena,38
584,isto,104
585,mão,145
586,criado,2
587,admirável,11
588,olhando,5
589,altura,6
590,donde,10
591,precipitava,2
592,arroio,2
593,largura,3
594,copo,1
595,monte,3
596,grama,3
597,tamanho,2
598,divã,2
599,parecia,67
600,menina,215
601,esmerara,1
602,capricho,5
603,miniatura,2
604,fundo,64
605,inteiramente,12
606,separado,3
607,habitação,18
608,tomado,9
609,armazéns,1
610,senzalas,1
611,serviam,11
612,morada,3
613,acostados,1
614,finalmente,7
615,precipício,20
616,cabana,27
617,sapé,2
618,cujos,6
619,esteios,2
620,eram,50
621,haviam,38
622,nascido,5
623,fendas,4
624,pedras,10
625,abas,2
626,teto,8
627,desciam,3
628,chão,36
629,ligeiro,19
630,sulco,2
631,privava,1
632,chuva,6
633,entrar,14
634,nesta,24
635,selvagem,103
636,agora,62
637,descrito,1
638,aspecto,20
639,localidade,1
640,passar,36
641,maior,20
642,acontecimentos,14
643,podemos,6
644,abrir,10
645,pesada,4
646,jacarandá,4
647,serve,5
648,entrada,15
649,sala,52
650,chamamos,1
651,ordinariamente,4
652,respirava,8
653,certo,28
654,impossível,36
655,existir,2
656,nessa,38
657,época,3
658,sitio,3
659,paredes,4
660,calados,2
661,mas,411
662,cingidos,1
663,largo,12
664,florão,1
665,pintura,1
666,fresco,1
667,espaços,1
668,pendiam,1
669,retratos,1
670,representavam,1
671,fidalgo,193
672,dama,18
673,também,66
674,idosa,2
675,centro,8
676,desenhavase,2
677,brasão,5
678,armas,49
679,campo,45
680,vieiras,1
681,ouro,23
682,riscadas,1
683,cruz,22
684,rosas,3
685,prata,14
686,palas,1
687,faixas,1
688,escudo,1
689,formado,4
690,brica,1
691,orlada,1
692,vermelho,7
693,elmo,1
694,paquife,1
695,azul,22
696,timbre,1
697,leão,2
698,vieira,1
699,cabeça,127
700,reposteiro,1
701,damasco,6
702,reproduzia,1
703,mesmo,170
704,ocultava,4
705,raras,1
706,vezes,66
707,oratório,13
708,defronte,9
709,dossel,8
710,fechado,5
711,brancas,9
712,apanhados,1
713,azuis,17
714,cadeiras,1
715,couro,8
716,espaldar,8
717,mesa,10
718,torneados,1
719,lâmpada,4
720,suspensa,6
721,constituíam,1
722,mobília,1
723,ar,50
724,severo,9
725,triste,53
726,aposentos,1
727,interiores,1
728,gosto,2
729,decorações,1
730,heráldicas,1
731,porém,64
732,mudava,2
733,substituído,3
734,caprichoso,1
735,delicado,9
736,revelava,11
737,presença,14
738,mulher,63
739,efeito,30
740,nada,56
741,loução,1
742,essa,129
743,alcova,2
744,brocatéis,1
745,seda,11
746,confundiam,1
747,lindas,6
748,penas,19
749,aves,7
750,enlaçadas,1
751,grinaldas,3
752,festões,1
753,orla,1
754,cúpula,9
755,cortinado,2
756,colocado,9
757,tapete,7
758,peles,7
759,animais,16
760,selvagens,86
761,canto,31
762,pendia,3
763,parede,34
764,crucifixo,3
765,alabastro,1
766,qual,75
767,escabelo,1
768,dourada,1
769,pouco,125
770,distante,4
771,cômoda,7
772,guitarras,1
773,espanholas,1
774,ciganos,1
775,introduziram,1
776,brasil,11
777,expulsos,3
778,portugal,11
779,coleção,1
780,curiosidades,1
781,minerais,1
782,cores,17
783,mimosas,3
784,formas,10
785,esquisitas,1
786,junto,56
787,janela,67
788,traste,1
789,definir,2
790,sofá,12
791,palha,16
792,matizada,3
793,várias,3
794,entremeada,1
795,negras,7
796,escarlates,9
797,garçareal,1
798,empalhada,1
799,prestes,12
800,desatar,2
801,vôo,5
802,segurava,4
803,bico,3
804,cortina,5
805,tafetá,1
806,ela,232
807,ponta,29
808,asas,16
809,caindo,6
810,vendava,2
811,ninho,9
812,inocência,9
813,olhos,227
814,profanos,1
815,suave,16
816,aroma,4
817,benjoim,4
818,impregnado,2
819,objetos,15
820,perfume,7
821,natural,24
822,atmosfera,3
823,paraíso,3
824,fada,1
825,habitava,2
826,ii,4
827,lealdade,8
828,descrevemos,5
829,pertencia,14
830,d,422
831,antônio,300
832,mariz,175
833,português,16
834,cota,2
835,d’armas,4
836,fundadores,1
837,cavalheiros,4
838,distinguido,1
839,nas,86
840,guerras,2
841,conquista,2
842,invasão,1
843,franceses,2
844,ataques,3
845,1567,1
846,acompanhou,10
847,mem,3
848,sá,11
849,vitória,5
850,alcançada,1
851,portugueses,6
852,auxiliou,1
853,governador,4
854,trabalhos,8
855,fundação,1
856,consolidação,1
857,domínio,3
858,capitania,2
859,fez,95
860,1578,1
861,célebre,1
862,expedição,12
863,dr,1
864,salema,1
865,estabelecido,3
866,feitoria,1
867,cabo,12
868,frio,10
869,fazerem,1
870,contrabando,2
871,paubrasil,1
872,serviu,4
873,provedor,1
874,real,2
875,fazenda,1
876,alfândega,1
877,mostrou,10
878,nesses,6
879,empregos,1
880,zelo,8
881,república,1
882,dedicação,30
883,valor,9
884,experimentado,1
885,guerra,33
886,ativo,1
887,afeito,2
888,combater,10
889,índios,25
890,prestou,1
891,serviços,3
892,descobertas,3
893,explorações,3
894,espírito,68
895,santo,13
896,recompensa,1
897,merecimento,1
898,dado,17
899,sesmaria,2
900,légua,3
901,sertão,11
902,haver,13
903,explorado,1
904,deixou,26
905,devoluta,1
906,derrota,1
907,alcácerquibir,1
908,espanhol,1
909,seguiu,8
910,vieram,4
911,modificar,5
912,antiga,5
913,têmpera,2
914,leal,9
915,entendia,6
916,preso,2
917,juramento,17
918,nobreza,13
919,preito,1
920,menagem,1
921,1582,1
922,foi,137
923,aclamado,1
924,felipe,1
925,11,5
926,sucessor,1
927,monarquia,1
928,portuguesa,3
929,embainhou,3
930,espada,37
931,retirouse,11
932,serviço,12
933,esperou,20
934,projetada,1
935,pedro,1
936,cunha,1
937,pretendeu,1
938,transportar,1
939,coroa,2
940,colocada,3
941,legitimo,4
942,herdeiro,7
943,prior,4
944,crato,1
945,vendo,43
946,realizava,2
947,braço,66
948,coragem,38
949,valiam,1
950,jurou,3
951,guardaria,1
952,fidelidade,8
953,morte,89
954,tomou,41
955,seus,323
956,penates,1
957,família,78
958,estabelecerse,2
959,naquela,21
960,concedera,1
961,pé,43
962,ia,144
963,assentar,1
964,solar,4
965,erguendo,10
966,vulto,18
967,lançando,14
968,olhar,146
969,vastos,2
970,horizontes,5
971,abriam,5
972,torno,31
973,exclamou,79
974,sou,17
975,respirar,2
976,vontade,40
977,nunca,56
978,desmentiu,2
979,fé,13
980,dada,3
981,conquistada,1
982,tu,203
983,reinarás,1
984,viverás,4
985,n’alma,1
986,teus,21
987,filhos,10
988,juro,12
989,descobrindose,2
990,curvou,1
991,joelho,8
992,estendeu,22
993,abismo,17
994,ecos,6
995,adormecidos,4
996,repetiram,2
997,longe,66
998,última,37
999,frase,9
1000,prestado,2
1001,altar,3
1002,face,56
1003,sol,70
1004,transmontava,1
1005,passara,9
1006,abril,1
1007,1593,1
1008,seguinte,8
1009,começaram,5
1010,edificação,1
1011,residência,1
1012,provisória,1
1013,artesãos,1
1014,vindos,1
1015,reino,4
1016,construíram,1
1017,decoraram,1
1018,conhecemos,5
1019,ajuntado,1
1020,fortuna,11
1021,durante,44
1022,primeiros,10
1023,aventureira,2
1024,fidalguia,3
1025,atenção,16
1026,procurava,19
1027,comodidade,1
1028,possíveis,2
1029,além,11
1030,expedições,3
1031,periodicamente,1
1032,comprar,1
1033,fazendas,1
1034,gêneros,1
1035,trocava,1
1036,produtos,3
1037,mandara,4
1038,vir,10
1039,alguns,60
1040,oficiais,1
1041,mecânicos,1
1042,hortelãos,1
1043,aproveitavam,1
